s.|čuasuidenkohendaj|čuasuin/kohendaj|часовщик|kelloseppä|||||||||
s. dem.|čuasuine|(Pal) čuas/uun’e, -uužen, -ušt|часик|tunti (pieni)|||||||||
s.|čučal|čučal|чучело|houkutinlintu|||||||||
adv.|čukkeloh|čukloho|под воду|pinnan alle|mända čukloho|нырнуть|sukeltua||||||
v.|čukurta|čukur/ta, -dab|целовать, расцеловать|suudella|||||||||
v. refl.|čukurtakse|čukur/takse, -daze|целоваться|suudella toisiaan|||||||||
s.|čupun-|čupun-|угловой|nurkka-|||||||||
v.|čurčettada|čurče/tada, -tab, -t’ ~ -t’ii|журчать||||||||||
s.|čurčetuz|čurčetu/z, -sen, -st|журчание||||||||||
s.|čurk|čurk, -an, -ad|чурка|pölkky|käded oma ku čurkad |руки как чурки|kädet ovat niin kuin pölkyt||||||
v.|čustvuida|čustvu/ida, -ib, -i|чувствовать|tuntea|||||||||
s.|čuud|čuud|чудо|ihme|||||||||
s.|cviet|cviet, -an, -ad|цвет|väri|||||||||
s.|d’ablon’|d’ablon’, -in, -id|яблоня|omenapuu|||||||||
s.|d’abluk|d’ablok, -an, -ad|яблоко|omena|||||||||
a.|d’ablukkahine|d’ablokahi/in’e, -ižen, -št|яблочный|omena-|||||||||
v.|d’agada|d’agada, d'agab, d'aguu|делить, раздавать|jakaa|||||||||
a.|d’agamatoi|d’agamat/uu, -oman, -omad|неделимый||||||||||
s.|d’agamine|d’agami/in’e, -ižen, -št|деление||||||||||
s.|d’agand|d’agand, -an, -ad|делёж, раздача||||||||||
s.|d’agard|d’agard|пробор|jakaus|||||||||
s.|d’ago|d’ago, -n, -d|разделение|jako|||||||||
s.|d’alg-|d’aug-|ножной|jalka-|||||||||
s. mon.|d’algaččimed|(Pal) d’augačimad|обувь|jalkineet|||||||||
s. mon.|d’algad|d’aug/ad, -uun, -uud|ноги|jalat|||||||||
adv.|d’algai|d’augaa|пешком|jalan, jalkaisin|||||||||
s. yhd.|d’alganpohd’|d’augam/pohd’|стопа||||||||||
a. yhd.|d’alorusked|d’alo/rusked (KTK)|багровый|tulipunainen|d’alorusked zor’a (KTK)|багровая заря|tulipunainen rusko||||||
s.|d’armank|d’armark ~ jarmark (IL), -an, -ad|ярмарка|markkinat|s'ügüz'il ol'd'ihe ül'en suured d'armankad (OF)|осенью были очень большие ярмарки|syksyllä olivat hyvin suuret markkinat||||||
s.|d’aššik|d’aššik, -an, -ad|ящик|laatikko|||||||||
s.|d’ataž|etaž, -an, -ad|этаж|kerros|||||||||
a.|d’auhoksine|d’auhos’i/in’e, -ižen, -št|мучный|jauho-|||||||||
s.|d’auhond|d’auhond, -an, -ad|размол|jauhaminen|||||||||
s. yhd.|d’auhondkivi|d’auhont/kivi|жернов|käsikivet|||||||||
s.|d’ielo|d’ielo, -n, -d|дело||||||||||
a. yhd.|d’ogakuine|d’oga/kuin’e|ежемесячный||||||||||
a. yhd.|d’oganedaliine|d’oga/n’edal’iin’e|еженедельный||||||||||
a. yhd.|d’ogapäivälline|d’oga/päiväl’iin’e|каждодневный||||||||||
a. yhd.|d’ogavuozine|d’oga/vuoz’iin’e|ежегодный||||||||||
s. dem.|d’ogud|d’ogu/t ~ d’ogu/tt, -den, -tt|речка|pieni joki|||||||||
s.|d’okt’|d’okt’|дёготь||||||||||
s.|d’uakker’|d’uaker’ ~ jakor’|якорь|ankkuri|||||||||
s.|d’uam|d’uam, -an, -ad|шоссе|maantie, valtatie|||||||||
s.|d’umalan-|d’umalan-|божий|jumalan-|||||||||
s. mon.|d’unad|d’unad|дюны||||||||||
v.|d’uobuda|d’uob/da, -ub, -ui|угорать||||||||||
v. refl.|d’uodakse|d’uodakse, d'uoze, d'uihe(ze)|напиваться|juoda kyllikseen, juoda itsensä humalaan |||||||||
v. frekv.|d’uoksendelta|d’uoksende/l’da, -l’ob, -l’ ~ -l’ii|бегать|juosta|||||||||
s.|d’uokseteluz|d’uoksetel’u/z, -sen, -st|бег|juoksu|||||||||
a.|d’uomatoi|d’uomat/uu, -oman, -omad|трезвый|raitis|||||||||
s.|d’uond|d’uond, -an, -ad|питьё, распитие|juominen|||||||||
s.|d’uotatuz|d’uotatu/z, -sen, -st|жажда|jano|||||||||
s.|d’upk|d’upk, -an, -ad|юбка|hame|||||||||
v.|d’urišta|d’ur’i/šta, -žob, -ž ~ -žii|греметь, прогреметь, громыхать|jyristä, jjylistä, yrähdellä|rubeta d’ur’ižmaha|загреметь|alkaa jyristä||||||
a.|d’urižij|d’ur’ižij, -an, -ad|гремучий|jyrisevä|||||||||
s.|d’ušk|d’ušk, -an, -ad|вьюшка||||||||||
a.|d’uurdunu|d’uurdunu, -den, -t|закоренелый|juurtunut, vakiintunut|||||||||
s. dem.|d’uurud|d’uuru/t, -den, -t|корешок|juuri (pieni)|||||||||
adv.|da|da|да|kyllä|||||||||
s.|duač|dača, -n, -d|дача|kesämökki|||||||||
a.|dälgembaine|d’äl’gemba/an’e, -ažen, -št|крайний|viimeinen, äärimmäinen|||||||||
s.|damk|damk, -an, -ad|дамка||||||||||
a. yhd.|därventagalline|d’ärven/tagal’iin’e|заозёрный|järventakainen|||||||||
s.|dedektiv|d’ed’ekt’i/f, -van, -vad|детектив|detektiivi; dekkari|||||||||
s.|defekt|d’efekt, -an, -ad|дефект|defekti|||||||||
s.|deficit|d’eficit, -an, -ad|дефицит|puute|||||||||
s.|defiz|d’efis, -an, -ad|дефис||||||||||
s.|dekad|d’ekad, -an, -ad|декада|dekadi|||||||||
s.|dekan|d’ekan, -an, -ad|декан|dekaani|||||||||
s.|dekret|d’ekr’et, -an, -ad|декрет|julistus|||||||||
s.|delegat|d’el’egat, -an, -ad|делегат|delegaatti|||||||||
s.|demokrat|d’emokrat, -an, -ad|демократ|demokraatti|||||||||
s.|demonstrant|d’emonstrant, -an, -ad|демонстрант|mielenosoittaja|||||||||
s. mon.|dengad|d’en’g/ad, -uun, -uud|деньги|rahat|suada d’en’gad|получать деньги, зарабатывать|saada rahaa, ansaita rahaa||||||
a.|dengakaz|d’en’gaka/z, -han, -st|денежный|rahakas|||||||||
s.|depo|d’epo, -n, -d|депо||||||||||
s.|depresij|d’epr’es’ij, -an, -ad|депрессия|depressio|||||||||
s.|deputat|d’eputat, -an, -ad|депутат|edustaja|||||||||
s. yhd.|dereinanagd’|d’er’ein’an/agd’|околица|kylän laita|||||||||
s.|derektor|d’er’ektor, -an, -ad|директор|johtaja|||||||||
s.|desant|d'esant, -an, -ad|десант|desantti|||||||||
s.|dessert|d’es’s’ert, -an, -ad|десерт|jälkiruoka|||||||||
konj.|desli|jesl’i|если|jos|jesl’i ol’iiš kr’oun’ kattud lauduol|если бы крыша была покрыта досками|jos katto olisi katettu laudoilla|jesl'i sagen', notketa pidab (PN)|если загустело, разжидить нужно|jos sakekeni, pitää vetelöidä|||
s.|detal’|d’etal’|деталь|osa|||||||||
s.|deurij|jevrej, -an, -ad|еврей|juutalainen|||||||||
s.|devan|devan, -an, -ad|диван|sohva|||||||||
s.|deviz|d’eviz, -an, -ad|девиз|iskulause|||||||||
s.|devizij|d’eviz’ij, -an, -ad|дивизия||||||||||
s.|dezenterij|d’ezent’er’ij, -an, -ad|дезинтерия||||||||||
s.|dezinfekcij|d’ez’infekcij, -an, -ad|дезинфекция||||||||||
v.|dežurida|d’ežur’i/da, -b, -i|дежурить|päivustää|||||||||
s.|diabet|d’iabet, -an, -ad|диабет||||||||||
s.|diäd’|d’iäd’, -an, -ad|дядя|setä, eno|||||||||
v.|diädüda|d’iädu/da, -b, -i|леденеть, заледенеть, обледенеть|jäätyä|||||||||
s.|diagnoz|d’iagnoz, -an, -ad|диагноз|diagnoosi|||||||||
a.|diähine|d’iähi/in’e, -ižen, -št|ледяной|jäinen|||||||||
s.|dialekt|d’ial’ekt, -an, -ad|диалект|murre|||||||||
s.|dialog|dialog, -an, -ad|диалог|vuoropuhelu|||||||||
s.|diametr|diametr, -an, -ad|диаметр||||||||||
s. yhd.|diänlähtend|d’iän/l’ähtend|ледоход||||||||||
s. yhd.|diänmurеndaj|d'iäm/murеndaj|ледокол|jäänmurtaja|||||||||
s. yhd.|diäpala|d’iä/pala|льдинка||||||||||
s. mon.|diäslid|d’iäsl’i/d, -in, -id|ясли|seimi|||||||||
s.|diet|d’ieta, -n, -d|диета|dietti|||||||||
adv.|diiv|d’iiv|удивительно|ihmeellistä|||||||||
s.|diktor|d’iktor, -an, -ad|диктор|kuuluttaja|||||||||
v.|dimida|dimi/da, -b, -i (SV)|дымить|savuta|||||||||
s.|dinamik|d’inamik, -an, -ad|динамик|kajutin|||||||||
s.|diplom|d’iplom, -an, -ad|диплом|diplomi|||||||||
s.|diplomat|d’iplomat, -an, -ad|дипломат|diplomaattti|||||||||
s.|diskotek|d’iskot’eka, -n, -d|дискотека|disko|||||||||
s.|diskusij|d’iskus’s’ij, -an, -ad|дискуссия|keskustelu|||||||||
s.|dispanser|d’ispanser, -an, -ad|диспансер|huoltola|||||||||
s.|dispeččer|d’ispeččer, -an, -ad|диспетчер|valvoja|||||||||
s.|disput|d’isput, -an, -ad|диспут|väittely|||||||||
s.|dissertacij|d’is’s’ertacij, -an, -ad|диссертация|dissertaatio, opinnäyte|||||||||
s.|distancij|d’istancij, -an, -ad|дистанция|etäisyys|||||||||
